PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
A'JA WILSON,LVA,28,38,26,12,34.4,26.9,10.1,19.6,51.8,0.5,1.6,31.7,6.1,7.2,84.4,2.1,9.8,11.9,2.3,1.3,1.8,2.6,1.8,50.3,23,0,4.6,1628932
ARIKE OGUNBOWALE,DAL,27,38,9,29,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5.0,92.1,0.8,3.8,4.6,5.1,2.7,2.1,0.3,2.8,39.7,2,0,-6.6,1629481
KAHLEAH COPPER,PHO,30,37,17,20,32.3,21.1,7.4,17.0,43.5,1.9,5.9,31.4,4.5,5.6,80.7,0.6,3.9,4.5,2.3,3.0,0.8,0.1,3.3,31.5,1,0,-3.1,1627674
BREANNA STEWART,NYL,30,38,30,8,32.7,20.4,7.0,15.2,45.8,1.2,4.1,29.5,5.3,6.3,84.5,1.6,6.9,8.5,3.5,1.7,1.7,1.3,2.1,39.6,16,0,7.9,1627668
NAPHEESA COLLIER,MIN,28,34,27,7,34.7,20.4,7.9,16.0,49.2,0.9,2.9,31.0,3.7,4.6,80.4,2.2,7.5,9.7,3.4,2.1,1.9,1.4,2.6,41.1,18,0,9.2,1629483
JEWELL LOYD,SEA,31,37,23,14,33.7,19.7,6.1,16.8,36.0,1.6,5.8,27.4,6.0,6.8,88.1,0.7,3.8,4.5,3.6,2.3,1.4,0.2,1.8,32.7,2,0,5.4,204319
CAITLIN CLARK,IND,22,40,20,20,35.4,19.2,6.1,14.5,41.7,3.1,8.9,34.4,4.1,4.5,90.6,0.4,5.3,5.7,8.4,5.6,1.3,0.7,2.8,40.4,14,2,-1.6,1642286
KELSEY MITCHELL,IND,28,40,20,20,32.0,19.2,7.1,15.1,46.8,2.7,6.8,40.2,2.4,2.8,83.2,0.7,1.8,2.5,1.8,1.6,0.7,0.2,1.6,27.9,0,0,-1.7,1628909
SABRINA IONESCU,NYL,26,38,30,8,32.1,18.2,6.3,15.9,39.4,2.8,8.4,33.3,2.8,3.1,89.8,0.7,3.7,4.4,6.2,2.7,1.0,0.3,1.2,34.3,3,0,7.4,1629477
SATOU SABALLY,DAL,26,15,3,12,34.2,17.9,5.9,13.9,42.6,2.5,5.6,45.2,3.5,4.5,77.9,1.2,5.2,6.4,5.0,2.5,1.3,0.5,3.2,35.5,0,0,-3.5,1630149
